freq_Hz,log10rho_p16,log10rho_median,log10rho_p84
1.976826457568005e-09,-6.577449186502063,-6.494087024962002,-6.4093700653290515
3.953652915136009e-09,-6.897040148183923,-6.80902190474727,-6.730365025653551
5.930479372704014e-09,-7.234729523869351,-7.144584434226747,-7.050407701248934
7.907305830272019e-09,-7.515334544603232,-7.42604655924109,-7.331926512428165
9.884132287840023e-09,-1.0,-1.0,-1.0
1.1860958745408028e-08,-1.0,-1.0,-1.0
1.3837785202976033e-08,-1.0,-1.0,-1.0
1.5814611660544037e-08,-7.662232466915701,-7.556106093820309,-7.456398563861405
1.7791438118112042e-08,-1.0,-1.0,-1.0
1.9768264575680047e-08,-1.0,-1.0,-1.0
2.174509103324805e-08,-1.0,-1.0,-1.0
2.3721917490816056e-08,-1.0,-1.0,-1.0
2.569874394838406e-08,-1.0,-1.0,-1.0
2.7675570405952065e-08,-1.0,-1.0,-1.0
2.965239686352007e-08,-1.0,-1.0,-1.0
3.1629223321088075e-08,-1.0,-1.0,-1.0
3.360604977865608e-08,-1.0,-1.0,-1.0
3.5582876236224084e-08,-1.0,-1.0,-1.0
3.755970269379209e-08,-1.0,-1.0,-1.0
3.95365291513601e-08,-1.0,-1.0,-1.0
4.15133556089281e-08,-1.0,-1.0,-1.0
4.34901820664961e-08,-1.0,-1.0,-1.0
4.546700852406411e-08,-1.0,-1.0,-1.0
4.744383498163212e-08,-1.0,-1.0,-1.0
4.942066143920012e-08,-1.0,-1.0,-1.0
5.139748789676812e-08,-1.0,-1.0,-1.0
5.337431435433613e-08,-1.0,-1.0,-1.0
5.535114081190414e-08,-1.0,-1.0,-1.0
5.732796726947214e-08,-1.0,-1.0,-1.0
5.9304793727040147e-08,-1.0,-1.0,-1.0
