freq_Hz,log10rho_median,log10rho_p16,log10rho_p84
1.976826457568005e-09,-6.561756743410344,-6.674655652510604,-6.460147725220109
3.953652915136009e-09,-6.767326840397068,-6.844004016160994,-6.685475131299379
5.930479372704014e-09,-7.164825082854234,-7.258437094983201,-7.074976367695277
7.907305830272019e-09,-7.470592961667439,-7.567968270766414,-7.376980949538473
9.884132287840023e-09,-5.296348137244927,-5.296348137244927,-5.296348137244927
1.1860958745408028e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
1.3837785202976033e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
1.5814611660544037e-08,-7.691216246534198,-7.790002791996926,-7.618772779861531
1.7791438118112042e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
1.9768264575680047e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
2.174509103324805e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
2.3721917490816056e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
2.569874394838406e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
2.7675570405952065e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
2.965239686352007e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
3.1629223321088075e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
3.360604977865608e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
3.5582876236224084e-08,-7.978167640497359,-8.039321216260001,-7.902431288975935
3.755970269379209e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
3.95365291513601e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
4.15133556089281e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
4.34901820664961e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
4.546700852406411e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
4.744383498163212e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
4.942066143920012e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
5.139748789676812e-08,-7.801763095028203,-7.898667992005926,-7.72226344653677
5.337431435433613e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
5.535114081190414e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
5.732796726947214e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
5.9304793727040147e-08,-5.296348137244927,-5.296348137244927,-5.296348137244927
