f_Hz,OmegaGW,sigma_OmegaGW
8.000000000000002e-10,6.864363958047897e-10,2.2603022151626814e-10
1.371174820516483e-09,9.831101894162205e-10,3.2371916064870484e-10
2.3501504855230004e-09,1.4080046606515484e-09,4.636286876512191e-10
4.028083962717154e-09,2.016536036101608e-09,6.640062935491617e-10
6.904009130755019e-09,2.888071111223927e-09,9.509859282145657e-10
1.1833254350883912e-08,4.13627854606111e-09,1.3619964817323816e-09
2.028182551337391e-08,5.923953930398534e-09,1.9506433914686155e-09
3.4762410572558785e-08,8.48425215533483e-09,2.7937000511487537e-09
5.958167759693558e-08,1.215109629160487e-08,4.001120866029972e-09
1.0212112010631131e-07,1.7402729007177516e-08,5.730381891927754e-09
1.7503238566589159e-07,2.492408665269967e-08,8.207019414516101e-09
3.000000000000001e-07,3.569613106168993e-08,1.1754045182420696e-08
